id,idempotency_key,tipo,almacen_origen_id,almacen_destino_id,material_id,cantidad,created_at,motivo,ref_externa,evidencia_key,usuario_op_id,fecha,from_almacen_id,to_almacen_id,tecnico_id,nota
c173bd6f-469f-4b3c-8cfe-4ce06d29e10b,,traslado,bdf0d98a-f0ee-4f42-a761-11be1a352e61,2d54377d-d817-4445-9c96-bee4a1bc0105,3,1,2025-10-05 21:17:13.480732+00,,,,,2025-10-05 21:17:13.480732+00,,,,smoke traslado vuelta
2a8c4f13-19f1-4eea-af98-aa00ecfaa75b,,traslado,2d54377d-d817-4445-9c96-bee4a1bc0105,bdf0d98a-f0ee-4f42-a761-11be1a352e61,3,1,2025-10-05 21:17:12.965578+00,,,,,2025-10-05 21:17:12.965578+00,,,,smoke traslado ida
fb94ba5d-b4b3-4245-bd3c-16afa1a5b452,,ajuste,bdf0d98a-f0ee-4f42-a761-11be1a352e61,,3,2,2025-10-05 21:17:12.435674+00,,,,,2025-10-05 21:17:12.435674+00,,,6,smoke revert (-2)
59174dc7-fb80-4788-abea-ccaadab565a8,,ajuste,,bdf0d98a-f0ee-4f42-a761-11be1a352e61,3,2,2025-10-05 21:17:12.3457+00,,,,,2025-10-05 21:17:12.3457+00,,,6,smoke (+2)
669af1c4-390a-42cd-b6d8-f45e4469f323,,traslado,bdf0d98a-f0ee-4f42-a761-11be1a352e61,2d54377d-d817-4445-9c96-bee4a1bc0105,3,1,2025-10-05 21:16:53.803787+00,,,,,2025-10-05 21:16:53.803787+00,,,,smoke traslado vuelta
0f6b94c9-3a5e-4605-b302-83d86573aa57,,traslado,2d54377d-d817-4445-9c96-bee4a1bc0105,bdf0d98a-f0ee-4f42-a761-11be1a352e61,3,1,2025-10-05 21:16:53.293588+00,,,,,2025-10-05 21:16:53.293588+00,,,,smoke traslado ida
cd048903-980f-4bd1-b459-91e14d67e469,,ajuste,bdf0d98a-f0ee-4f42-a761-11be1a352e61,,3,2,2025-10-05 21:16:52.752438+00,,,,,2025-10-05 21:16:52.752438+00,,,6,smoke revert (-2)
a8a7d0cb-99bf-4992-821d-bf6675c714e3,,ajuste,,bdf0d98a-f0ee-4f42-a761-11be1a352e61,3,2,2025-10-05 21:16:52.662352+00,,,,,2025-10-05 21:16:52.662352+00,,,6,smoke (+2)
30c8a79b-113b-4ab2-8019-9a0fe6440f81,,traslado,bdf0d98a-f0ee-4f42-a761-11be1a352e61,2d54377d-d817-4445-9c96-bee4a1bc0105,3,1,2025-10-05 21:16:42.522084+00,,,,,2025-10-05 21:16:42.522084+00,,,,smoke traslado vuelta
27e9e2d4-b87c-4f9e-bb25-01103099ee59,,traslado,2d54377d-d817-4445-9c96-bee4a1bc0105,bdf0d98a-f0ee-4f42-a761-11be1a352e61,3,1,2025-10-05 21:16:42.010624+00,,,,,2025-10-05 21:16:42.010624+00,,,,smoke traslado ida
455252a8-19a6-4725-bb43-c8fa97212e83,,ajuste,bdf0d98a-f0ee-4f42-a761-11be1a352e61,,3,2,2025-10-05 21:16:41.474501+00,,,,,2025-10-05 21:16:41.474501+00,,,6,smoke revert (-2)
5bff886b-4be9-43d4-8273-2f949f708640,,ajuste,,bdf0d98a-f0ee-4f42-a761-11be1a352e61,3,2,2025-10-05 21:16:41.373156+00,,,,,2025-10-05 21:16:41.373156+00,,,6,smoke (+2)
22bb6189-3325-4341-ae25-b2a26fa74361,,traslado,bdf0d98a-f0ee-4f42-a761-11be1a352e61,2d54377d-d817-4445-9c96-bee4a1bc0105,3,1,2025-10-05 21:16:15.930986+00,,,,,2025-10-05 21:16:15.930986+00,,,,smoke traslado vuelta
f55d39d2-73f1-462e-8552-8e96d9904181,,traslado,2d54377d-d817-4445-9c96-bee4a1bc0105,bdf0d98a-f0ee-4f42-a761-11be1a352e61,3,1,2025-10-05 21:16:15.415677+00,,,,,2025-10-05 21:16:15.415677+00,,,,smoke traslado ida
