isp-api  | [RES] GET /v1/admin/catalogos/motivos_reagenda/items -> 200 4.8ms rid=b7dfbdde-4201-4bf4-8682-47ec3d235b40
isp-api  | [REQ] POST /v1/admin/catalogos/motivos_reagenda/items rid=7af9922e-18ef-425d-99df-b31654a811cb
isp-api  | [RES] POST /v1/admin/catalogos/motivos_reagenda/items -> 201 5.3ms rid=7af9922e-18ef-425d-99df-b31654a811cb
isp-api  | [REQ] GET /v1/materiales rid=a2ea4a91-3c13-4b5a-b410-186ef2f3a42e
isp-api  | [RES] GET /v1/materiales -> 200 2.4ms rid=a2ea4a91-3c13-4b5a-b410-186ef2f3a42e
isp-api  | [REQ] POST /v1/agenda/ordenes/MAN-20250919180153/asignar rid=9037a082-b04b-4c27-b35b-dcbf0a0387f7
isp-api  | [32m[Nest] 1  - [39m09/19/2025, 11:01:53 PM [32m    LOG[39m [38;5;3m[AgendaService] [39m[32m[ASIGNAR] MAN-20250919180153 -> {"ok":true,"orden":[{"codigo":"MAN-20250919180153","estado":"agendada","agendadoPara":"2025-09-19","turno":"am","agendadaAt":"2025-09-19T23:01:53.448Z","tecnicoId":"a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec"}]}[39m
isp-api  | [RES] POST /v1/agenda/ordenes/MAN-20250919180153/asignar -> 200 3.7ms rid=9037a082-b04b-4c27-b35b-dcbf0a0387f7
isp-api  | [REQ] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes rid=1041ef6e-e2a2-4552-bcac-6c20a44a83e5
isp-api  | [RES] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes -> 200 4.1ms rid=1041ef6e-e2a2-4552-bcac-6c20a44a83e5
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919180153/iniciar rid=a2c2bd7f-b109-45a1-8c97-1098521859fe
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919180153/iniciar -> 200 5.7ms rid=a2c2bd7f-b109-45a1-8c97-1098521859fe
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919180153/cerrar rid=1ca4efab-6f02-4f45-ae0b-9fc515e9ef6a
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919180153/cerrar -> 200 13.0ms rid=1ca4efab-6f02-4f45-ae0b-9fc515e9ef6a
isp-api  | [REQ] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes rid=212a119b-27e8-43ee-b1e8-a1d490dae8e4
isp-api  | [RES] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes -> 200 4.3ms rid=212a119b-27e8-43ee-b1e8-a1d490dae8e4
